,Primary Situation,neighborhood_district,count
354,745 Alarm system activation,Lakeshore,44
355,745 Alarm system activation,Lincoln Park,4
356,745 Alarm system activation,Lone Mountain/USF,79
357,745 Alarm system activation,Marina,138
358,745 Alarm system activation,McLaren Park,3
359,745 Alarm system activation,Mission,367
360,745 Alarm system activation,Mission Bay,126
361,745 Alarm system activation,Nob Hill,194
362,745 Alarm system activation,Noe Valley,48
363,745 Alarm system activation,North Beach,84
364,745 Alarm system activation,Oceanview/Merced/Ingleside,20
365,745 Alarm system activation,Outer Mission,21
366,745 Alarm system activation,Outer Richmond,85
367,745 Alarm system activation,Pacific Heights,162
368,745 Alarm system activation,Portola,12
369,745 Alarm system activation,Potrero Hill,72
370,745 Alarm system activation,Presidio Heights,47
371,745 Alarm system activation,Russian Hill,121
372,745 Alarm system activation,Seacliff,10
373,745 Alarm system activation,South of Market,430
374,745 Alarm system activation,Sunset/Parkside,73
375,745 Alarm system activation,Tenderloin,620
376,745 Alarm system activation,Twin Peaks,24
377,745 Alarm system activation,Visitacion Valley,18
378,745 Alarm system activation,West of Twin Peaks,45
379,745 Alarm system activation,Western Addition,205
